Date,Open,High,Low,Close,Adj Close,Volume
2008-07-01,7.96,7.97,7.82,7.83,5.39,3363072
2008-07-02,7.84,7.95,7.81,7.91,5.44,4420214
2008-07-03,7.86,7.86,7.77,7.84,5.40,5929682
2008-07-04,7.76,7.84,7.76,7.81,5.38,3212641
2008-07-07,7.76,7.85,7.76,7.83,5.39,5332077
2008-07-08,7.77,7.79,7.70,7.74,5.32,6383037
2008-07-09,7.81,7.87,7.75,7.83,5.39,3830852
2008-07-10,7.74,7.81,7.74,7.76,5.34,3136395
2008-07-11,7.80,8.01,7.79,7.94,5.46,9865630
2008-07-14,7.88,8.01,7.82,7.91,5.44,5328986
2008-07-15,7.83,7.85,7.69,7.79,5.36,8668360
2008-07-16,7.86,7.86,7.67,7.72,5.31,10995927
2008-07-17,7.85,7.91,7.80,7.80,5.37,7507152
2008-07-18,7.88,8.01,7.82,7.90,5.44,9481308
2008-07-21,8.00,8.12,7.99,8.05,5.54,9853266
2008-07-22,8.00,8.07,8.00,8.01,5.51,2860260
2008-07-23,8.11,8.20,8.08,8.18,5.63,7172287
2008-07-24,8.25,8.25,8.18,8.21,5.65,5930712
2008-07-25,8.13,8.16,8.07,8.10,5.58,2667584
2008-07-28,8.06,8.15,8.03,8.15,5.61,3497018
2008-07-29,8.00,8.07,7.94,8.05,5.54,4391364
2008-07-30,8.13,8.18,8.07,8.15,5.61,4881813
2008-07-31,8.30,8.30,8.14,8.18,5.63,11757358
2008-08-01,8.10,8.16,8.06,8.11,5.58,4700470
2008-08-04,8.02,8.09,8.01,8.06,5.54,3524838
2008-08-05,8.13,8.21,8.00,8.16,5.62,7780196
2008-08-06,8.30,8.30,8.07,8.15,5.61,8117121
2008-08-07,8.10,8.11,7.93,8.00,5.50,8498352
2008-08-08,7.90,7.99,7.83,7.92,5.45,6565409
2008-08-11,8.04,8.04,7.82,7.86,5.41,5464992
2008-08-12,7.92,7.99,7.86,7.92,5.45,5098187
2008-08-13,7.91,8.02,7.86,7.97,5.48,7808015
2008-08-14,7.91,8.03,7.91,8.00,5.50,4287299
2008-08-15,8.00,8.05,7.97,7.99,5.50,4526341
2008-08-18,8.01,8.04,7.94,8.01,5.51,3519686
2008-08-19,7.88,8.00,7.84,7.85,5.40,7057918
2008-08-20,7.84,8.03,7.81,7.94,5.46,5025032
2008-08-21,7.89,7.95,7.82,7.86,5.41,5972956
2008-08-22,7.87,7.92,7.84,7.89,5.43,5046669
2008-08-25,7.88,7.94,7.86,7.89,5.53,5851375
2008-08-26,7.82,7.85,7.76,7.81,5.47,4774656
2008-08-27,7.75,7.83,7.75,7.80,5.47,3030268
2008-08-28,7.81,7.90,7.80,7.82,5.48,4470702
2008-08-29,7.94,7.94,7.83,7.85,5.50,9078440
2008-09-01,7.85,7.85,7.73,7.76,5.44,8161426
2008-09-02,7.83,7.93,7.70,7.91,5.54,8447864
