Date,Open,High,Low,Close,Adj Close,Volume
2008-07-01,18.74,18.74,18.50,18.50,13.25,2677000
2008-07-02,18.52,18.68,18.44,18.58,13.30,2821000
2008-07-03,18.50,18.70,18.44,18.60,13.32,3964000
2008-07-04,18.70,18.70,18.46,18.48,13.23,1495000
2008-07-07,18.48,18.78,18.44,18.60,13.32,3788000
2008-07-08,18.50,18.62,18.26,18.38,13.16,3660000
2008-07-09,18.58,18.62,18.30,18.54,13.27,3087000
2008-07-10,18.48,18.62,18.38,18.50,13.25,2774000
2008-07-11,18.58,18.88,18.46,18.74,13.42,3003000
2008-07-14,18.66,18.78,18.42,18.56,13.29,3527000
2008-07-15,18.38,18.48,18.16,18.16,13.00,3402000
2008-07-16,18.22,18.40,18.04,18.36,13.15,5020000
2008-07-17,18.64,18.76,18.54,18.74,13.42,6171000
2008-07-18,18.76,18.80,18.42,18.66,13.36,5137000
2008-07-21,18.78,19.08,18.76,19.00,13.60,4993000
2008-07-22,18.88,18.90,18.66,18.72,13.40,3007000
2008-07-23,18.88,19.36,18.88,19.28,13.80,5824000
2008-07-24,19.40,19.50,19.24,19.38,13.88,4862000
2008-07-25,19.30,19.30,19.06,19.08,13.66,3831000
2008-07-28,19.06,19.38,19.06,19.24,13.78,2506000
2008-07-29,19.02,19.28,18.90,19.24,13.78,3557000
2008-07-30,19.44,19.56,19.28,19.36,13.86,3766000
2008-07-31,19.76,19.76,19.48,19.48,13.95,9222000
2008-08-01,19.36,19.38,19.22,19.36,13.86,2745000
2008-08-04,19.24,19.42,19.24,19.30,13.82,1976000
2008-08-05,19.46,19.68,19.26,19.68,14.09,5476000
2008-08-06,20.00,20.14,19.80,20.02,14.33,6376000
2008-08-07,20.00,20.18,19.80,20.06,14.36,5854000
2008-08-08,20.00,20.00,19.66,19.66,14.08,5073000
2008-08-11,19.76,19.94,19.68,19.78,14.16,3895000
2008-08-12,19.78,20.00,19.76,19.94,14.28,4523000
2008-08-13,19.64,19.94,19.62,19.94,14.28,4504000
2008-08-14,19.98,20.00,19.74,19.88,14.23,4045000
2008-08-15,19.90,19.90,19.74,19.80,14.18,2523000
2008-08-18,19.66,19.70,19.22,19.30,13.96,4527000
2008-08-19,19.20,19.34,18.98,19.02,13.76,2713000
2008-08-20,19.02,19.20,18.96,19.20,13.89,3197000
2008-08-21,19.38,19.38,18.86,19.00,13.74,2432000
2008-08-22,19.00,19.10,18.90,19.10,13.82,3039000
2008-08-25,19.24,19.40,19.08,19.18,13.87,2032000
2008-08-26,19.00,19.06,18.78,18.84,13.63,3392000
2008-08-27,18.84,18.98,18.72,18.76,13.57,3089000
2008-08-28,18.64,18.72,18.62,18.66,13.50,1957000
2008-08-29,18.90,19.04,18.74,19.00,13.74,6424000
2008-09-01,18.80,18.90,18.62,18.76,13.57,2591000
2008-09-02,18.76,19.28,18.68,19.10,13.82,4884000
