Date,Open,High,Low,Close,Adj Close,Volume
2008-07-01,19.00,19.06,18.68,18.74,13.08,3413000
2008-07-02,18.74,18.90,18.62,18.68,13.04,5759000
2008-07-03,18.54,18.70,18.54,18.66,13.02,6061000
2008-07-04,18.66,18.74,18.56,18.68,13.04,2644000
2008-07-07,18.60,18.96,18.52,18.78,13.11,4188000
2008-07-08,18.62,18.72,18.26,18.48,12.90,6048000
2008-07-09,18.66,18.84,18.60,18.84,13.15,4133000
2008-07-10,18.82,18.82,18.62,18.68,13.04,2753000
2008-07-11,18.74,19.20,18.70,19.04,13.29,4934000
2008-07-14,19.00,19.10,18.74,18.80,13.12,3011000
2008-07-15,18.60,18.60,18.36,18.38,12.83,6384000
2008-07-16,18.28,18.48,18.22,18.40,12.84,5669000
2008-07-17,18.74,18.80,18.62,18.62,13.00,5834000
2008-07-18,18.68,18.78,18.48,18.66,13.02,3361000
2008-07-21,19.00,19.18,18.96,19.18,13.39,5597000
2008-07-22,19.10,19.22,19.06,19.16,13.37,2947000
2008-07-23,19.20,19.86,19.20,19.72,13.76,6552000
2008-07-24,19.80,19.90,19.68,19.76,13.79,6488000
2008-07-25,19.38,19.40,19.24,19.38,13.53,4761000
2008-07-28,19.38,19.54,19.20,19.34,13.50,2476000
2008-07-29,19.00,19.10,18.84,19.04,13.29,5020000
2008-07-30,19.38,19.42,19.14,19.32,13.48,3600000
2008-07-31,19.52,19.52,19.20,19.20,13.40,7575000
2008-08-01,18.82,19.18,18.82,19.14,13.36,4003000
2008-08-04,19.00,19.10,18.96,19.04,13.29,2399000
2008-08-05,19.16,19.16,18.46,18.82,13.13,8988000
2008-08-06,19.02,19.04,18.52,18.74,13.08,13060000
2008-08-07,18.70,18.96,18.40,18.80,13.12,7993000
2008-08-08,18.80,18.86,18.50,18.70,13.05,5058000
2008-08-11,18.90,18.98,18.68,18.78,13.11,4439000
2008-08-12,18.88,18.88,18.52,18.58,12.97,4057000
2008-08-13,18.40,18.52,18.38,18.50,12.91,5619000
2008-08-14,18.42,18.64,18.42,18.50,12.91,6010000
2008-08-15,18.50,18.64,18.48,18.60,12.98,3339000
2008-08-18,18.60,18.62,18.34,18.40,12.84,7429000
2008-08-19,18.02,18.16,17.90,17.92,12.64,5564000
2008-08-20,17.72,18.04,17.72,17.96,12.67,4534000
2008-08-21,17.88,17.88,17.72,17.72,12.50,3174000
2008-08-22,17.68,17.68,17.44,17.68,12.47,4472000
2008-08-25,17.96,18.00,17.78,17.78,12.55,2883000
2008-08-26,17.68,17.76,17.60,17.62,12.43,2241000
2008-08-27,17.68,17.88,17.64,17.74,12.52,2646000
2008-08-28,17.64,17.68,17.46,17.54,12.38,2596000
2008-08-29,17.90,18.08,17.76,18.08,12.76,6893000
2008-09-01,17.94,17.94,17.72,17.90,12.63,2567000
2008-09-02,18.04,18.10,17.68,18.10,12.77,4115000
2008-09-03,18.08,18.16,17.80,17.80,12.56,3430000
2008-09-04,17.66,17.84,17.52,17.58,12.40,5700000
2008-09-05,17.40,17.40,17.16,17.30,12.21,5324000
2008-09-08,18.00,18.26,17.84,18.20,12.84,8384000
2008-09-09,18.00,18.10,17.86,18.10,12.77,4217000
2008-09-10,17.90,17.98,17.76,17.84,12.59,7489000
2008-09-11,17.60,17.68,16.90,17.08,12.05,10897000
2008-09-12,17.10,17.24,16.98,17.02,12.01,5473000
2008-09-15,16.80,16.80,16.46,16.46,11.61,4727000
2008-09-16,16.00,16.50,15.90,16.38,11.56,6669000
2008-09-17,16.60,16.78,16.02,16.14,11.39,6624000
2008-09-18,15.90,16.60,15.46,16.12,11.37,17443000
2008-09-19,16.70,17.30,16.70,17.12,12.08,15904000
2008-09-22,17.28,17.42,17.08,17.18,12.12,14341000
2008-09-23,16.60,16.96,16.58,16.86,11.90,4404000
2008-09-24,16.80,17.10,16.70,16.86,11.90,3788000
2008-09-25,16.60,16.94,16.60,16.90,11.92,2689000
2008-09-26,16.96,17.28,16.90,16.92,11.94,5428000
2008-09-29,17.18,17.32,16.62,16.90,11.92,6905000
2008-09-30,16.14,17.14,16.00,16.78,11.84,12964000
2008-10-02,16.84,16.98,16.44,16.70,11.78,8696000
2008-10-03,16.60,16.60,16.44,16.56,11.68,5033000
2008-10-06,16.38,16.38,15.40,15.60,11.01,9062000
2008-10-07,15.16,16.00,15.10,15.78,11.13,6785000
2008-10-08,15.38,15.44,14.78,15.00,10.58,8722000
2008-10-09,14.98,15.38,14.86,15.34,10.82,7865000
2008-10-10,14.00,14.34,13.80,14.00,9.88,11016000
2008-10-13,14.20,14.98,14.16,14.86,10.49,12190000
2008-10-14,15.40,15.66,15.18,15.30,10.80,12487000
2008-10-15,15.00,15.10,14.42,14.60,10.30,7251000
2008-10-16,14.00,14.10,13.70,13.84,9.77,13980000
2008-10-17,14.00,14.04,12.90,13.00,9.17,10193000
2008-10-20,13.42,13.48,12.92,13.04,9.20,9041000
2008-10-21,13.24,13.30,12.62,12.64,8.92,7852000
2008-10-22,12.22,12.36,11.22,11.60,8.18,10809000
2008-10-23,11.30,11.38,10.70,10.98,7.75,16849000
2008-10-24,10.92,10.92,9.99,10.04,7.08,16948000
2008-10-27,10.04,10.04,10.04,10.04,7.08,0
2008-10-29,10.96,11.02,10.28,10.60,7.48,22798000
2008-10-30,10.94,12.02,10.74,11.50,8.11,11686000
2008-10-31,11.46,11.54,10.62,11.02,7.78,12967000
2008-11-03,11.38,11.82,11.38,11.68,8.24,6216000
2008-11-04,11.70,11.76,11.22,11.36,8.02,4987000
2008-11-05,11.56,12.00,11.30,11.38,8.03,8406000
2008-11-06,10.98,11.18,10.80,11.10,7.83,6181000
2008-11-07,10.12,11.40,10.12,11.40,8.04,10772000
2008-11-10,11.76,11.90,11.12,11.70,8.26,7950000
2008-11-11,11.14,11.56,10.92,11.02,7.78,4742000
2008-11-12,10.94,11.08,10.62,10.66,7.52,7430000
2008-11-13,10.46,10.46,10.06,10.38,7.32,9754000
2008-11-14,10.58,10.68,10.22,10.34,7.30,6206000
2008-11-17,10.10,10.20,10.02,10.10,7.13,6266000
2008-11-18,10.00,10.16,9.90,9.90,6.99,7852000
2008-11-19,9.80,9.88,9.50,9.50,6.84,8547000
2008-11-20,9.20,9.20,9.11,9.16,6.60,6800000
2008-11-21,9.00,9.60,8.94,9.60,6.91,8792000
2008-11-24,9.59,9.62,9.22,9.27,6.68,5010000
2008-11-25,9.45,9.66,8.93,9.20,6.63,13053000
2008-11-26,9.12,9.22,9.01,9.20,6.63,10284000
2008-11-27,9.30,9.41,9.03,9.07,6.53,10398000
2008-11-28,9.07,9.45,9.01,9.40,6.77,9689000
2008-12-01,9.30,9.45,9.05,9.08,6.54,6516000
2008-12-02,8.98,9.29,8.96,9.18,6.61,8182000
2008-12-03,9.15,9.27,9.08,9.08,6.54,8535000
2008-12-04,9.12,9.19,9.07,9.09,6.55,5946000
2008-12-05,9.00,9.21,9.00,9.15,6.59,9479000
2008-12-09,9.60,9.72,9.44,9.57,6.89,14591000
2008-12-10,9.50,10.20,9.40,9.99,7.19,19237000
2008-12-11,10.20,10.30,9.96,10.08,7.26,11766000
2008-12-12,9.96,10.24,9.80,10.10,7.27,12184000
2008-12-15,10.30,10.40,10.08,10.10,7.27,6747000
2008-12-16,9.98,10.14,9.83,9.96,7.17,8021000
